File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
19-001576,07/29/2019,2019,7,400 Block,East Washington Street,07/29/2019,Weeds/Grass,,,Phone,No, 0.0,"400 East Washington Street Urbana, IL"
19-001577,07/29/2019,2019,7,400 Block,East Washington Street,07/29/2019,Weeds/Grass,,,Phone,No, 0.0,"400 East Washington Street Urbana, IL"
19-001578,07/29/2019,2019,7,1300 Block,East Silver Street,,Municipal Waste,,,Phone,No, 0.0,"1300 East Silver Street Urbana, IL"
19-001580,07/29/2019,2019,7,2000 Block,East Washington Street,07/29/2019,Municipal Waste,,,Phone,No, 0.0,"2000 East Washington Street Urbana, IL"
19-001554,07/25/2019,2019,7,1600 Block,East Ivanhoe Way,07/25/2019,Municipal Waste,,,Phone,No, 0.0,"1600 East Ivanhoe Way Urbana, IL"
19-001557,07/25/2019,2019,7,1500 Block,East Trails Drive,07/25/2019,Weeds/Grass,,,Phone,No, 0.0,"1500 East Trails Drive Urbana, IL"
19-001543,07/24/2019,2019,7,1600 Block,East Kingston Drive,07/24/2019,Municipal Waste,,,Phone,No, 0.0,"1600 East Kingston Drive Urbana, IL"
19-001544,07/24/2019,2019,7,1600 Block,East Kingston Drive,07/24/2019,Municipal Waste,,,Phone,No, 0.0,"1600 East Kingston Drive Urbana, IL"
19-001547,07/24/2019,2019,7,500 Block,South Anderson Street,07/24/2019,Municipal Waste,,,Phone,No, 0.0,"500 South Anderson Street Urbana, IL"
19-001528,07/23/2019,2019,7,1200 Block,East Silver Street,07/23/2019,Municipal Waste,,,Phone,No, 0.0,"1200 East Silver Street Urbana, IL"
19-001529,07/23/2019,2019,7,1200 Block,East Silver Street,07/23/2019,Weeds/Grass,,,Phone,No, 0.0,"1200 East Silver Street Urbana, IL"
19-001530,07/23/2019,2019,7,1200 Block,West Eureka Street,07/23/2019,Municipal Waste,,,Phone,No, 0.0,"1200 West Eureka Street Urbana, IL"
19-001531,07/23/2019,2019,7,1200 Block,North Goodwin Avenue,07/23/2019,Municipal Waste,,,Phone,No, 0.0,"1200 North Goodwin Avenue Urbana, IL"
19-001508,07/22/2019,2019,7,1200 Block,South Lanore Drive,07/22/2019,Weeds/Grass,,,Phone,No, 0.0,"1200 South Lanore Drive Urbana, IL"
19-001509,07/22/2019,2019,7,900 Block,South Maple Street,,Weeds/Grass,Unfounded,07/22/2019,Phone,No, 0.0,"900 South Maple Street Urbana, IL"
19-001511,07/22/2019,2019,7,800 Block,East Hawthorne Drive,07/22/2019,Weeds/Grass,,,Phone,No, 0.0,"800 East Hawthorne Drive Urbana, IL"
19-001512,07/22/2019,2019,7,800 Block,East Fairlawn Drive,07/22/2019,Weeds/Grass,,,Phone,No, 0.0,"800 East Fairlawn Drive Urbana, IL"
19-001513,07/22/2019,2019,7,300 Block,North Coler Avenue,,Weeds/Grass,Unfounded,07/22/2019,Phone,No, 0.0,"300 North Coler Avenue Urbana, IL"
19-001518,07/22/2019,2019,7,1300 Block,East Silver Street,,Municipal Waste,,,City Staff Reported,No, 0.0,"1300 East Silver Street Urbana, IL"
19-001499,07/19/2019,2019,7,200 Block,North Busey Avenue,07/19/2019,Weeds/Grass,Voluntarily Complied,07/29/2019,Phone,No, 0.0,"200 North Busey Avenue Urbana, IL"
19-001500,07/19/2019,2019,7,800 Block,West Stoughton Street,07/19/2019,Weeds/Grass,,,Phone,No, 0.0,"800 West Stoughton Street Urbana, IL"
19-001501,07/19/2019,2019,7,700 Block,South Wabash Avenue,07/19/2019,Weeds/Grass,,,Phone,No, 0.0,"700 South Wabash Avenue Urbana, IL"
19-001461,07/17/2019,2019,7,1600 Block,East Ivanhoe Way,07/17/2019,Weeds/Grass,,,Phone,No, 0.0,"1600 East Ivanhoe Way Urbana, IL"
19-001462,07/17/2019,2019,7,1600 Block,East Ivanhoe Way,07/17/2019,Weeds/Grass,Voluntarily Complied,07/25/2019,Phone,No, 0.0,"1600 East Ivanhoe Way Urbana, IL"
19-001463,07/17/2019,2019,7,1200 Block,South Lanore Drive,07/17/2019,Weeds/Grass,,,Phone,No, 0.0,"1200 South Lanore Drive Urbana, IL"
19-001465,07/17/2019,2019,7,2000 Block,"South ""Cottage Grove"" Avenue",07/17/2019,Weeds/Grass,Voluntarily Complied,07/25/2019,Phone,No, 0.0,"2000 South ""Cottage Grove"" Avenue Urbana, IL"
19-001466,07/17/2019,2019,7,100 Block,North Webber Street,07/17/2019,Weeds/Grass,,,Phone,No, 0.0,"100 North Webber Street Urbana, IL"
19-001467,07/17/2019,2019,7,100 Block,North Webber Street,07/17/2019,Weeds/Grass,,,Phone,No, 0.0,"100 North Webber Street Urbana, IL"
19-001469,07/17/2019,2019,7,1300 Block,East Silver Street,,Weeds/Grass,,,City Staff Reported,No, 0.0,"1300 East Silver Street Urbana, IL"
19-001470,07/17/2019,2019,7,1600 Block,South Smith Road,,Weeds/Grass,,,City Staff Reported,No, 0.0,"1600 South Smith Road Urbana, IL"
19-001471,07/17/2019,2019,7,1500 Block,South Ogelthorpe Avenue,,Weeds/Grass,,,City Staff Reported,No, 0.0,"1500 South Ogelthorpe Avenue Urbana, IL"
19-001472,07/17/2019,2019,7,1400 Block,South Wiley Drive,,Weeds/Grass,,,City Staff Reported,No, 0.0,"1400 South Wiley Drive Urbana, IL"
19-001473,07/17/2019,2019,7,800 Block,East Park Street,,Weeds/Grass,,,City Staff Reported,No, 0.0,"800 East Park Street Urbana, IL"
19-001475,07/17/2019,2019,7,1300 Block,South Vine Street,07/17/2019,Weeds/Grass,Voluntarily Complied,07/25/2019,Phone,No, 0.0,"1300 South Vine Street Urbana, IL"
19-001476,07/17/2019,2019,7,1300 Block,South Vine Street,07/17/2019,Municipal Waste,Voluntarily Complied,07/25/2019,Phone,No, 0.0,"1300 South Vine Street Urbana, IL"
19-001477,07/17/2019,2019,7,700 Block,East California Avenue,07/17/2019,Municipal Waste,,,Phone,No, 0.0,"700 East California Avenue Urbana, IL"
19-001457,07/16/2019,2019,7,800 Block,East University Avenue,07/16/2019,Municipal Waste,,,Phone,No, 0.0,"800 East University Avenue Urbana, IL"
19-001458,07/16/2019,2019,7,800 Block,East University Avenue,07/16/2019,Weeds/Grass,Voluntarily Complied,07/24/2019,Phone,No, 0.0,"800 East University Avenue Urbana, IL"
19-001434,07/15/2019,2019,7,200 Block,West Park Street,07/15/2019,Weeds/Grass,Voluntarily Complied,07/23/2019,Phone,No, 0.0,"200 West Park Street Urbana, IL"
19-001435,07/15/2019,2019,7,200 Block,West Park Street,07/15/2019,Weeds/Grass,,,Phone,No, 0.0,"200 West Park Street Urbana, IL"
19-001436,07/15/2019,2019,7,200 Block,West Park Street,07/15/2019,Weeds/Grass,,,Phone,No, 0.0,"200 West Park Street Urbana, IL"
19-001438,07/15/2019,2019,7,1000 Block,South Webber Street,07/15/2019,Weeds/Grass,,,Phone,No, 0.0,"1000 South Webber Street Urbana, IL"
19-001439,07/15/2019,2019,7,1300 Block,East Silver Street,,Municipal Waste,,,City Staff Reported,No, 0.0,"1300 East Silver Street Urbana, IL"
19-001440,07/15/2019,2019,7,800 Block,East Park Street,07/15/2019,Municipal Waste,,,,No, 0.0,"800 East Park Street Urbana, IL"
19-001441,07/15/2019,2019,7,800 Block,East Park Street,07/15/2019,Weeds/Grass,,,Phone,No, 0.0,"800 East Park Street Urbana, IL"
19-001442,07/15/2019,2019,7,1800 Block,South Larch Place,07/15/2019,Weeds/Grass,Unfounded,07/15/2019,Phone,No, 0.0,"1800 South Larch Place Urbana, IL"
19-001418,07/12/2019,2019,7,100 Block,West Washington Street,07/12/2019,Municipal Waste,Voluntarily Complied,07/22/2019,Walk In,No, 0.0,"100 West Washington Street Urbana, IL"
19-001421,07/12/2019,2019,7,800 Block,East University Avenue,07/12/2019,Weeds/Grass,Voluntarily Complied,07/22/2019,Phone,No, 0.0,"800 East University Avenue Urbana, IL"
19-001422,07/12/2019,2019,7,1600 Block,South Adams Street,07/12/2019,Weeds/Grass,Voluntarily Complied,07/24/2019,Phone,No, 0.0,"1600 South Adams Street Urbana, IL"
19-001423,07/12/2019,2019,7,1000 Block,North Goodwin Avenue,07/12/2019,Weeds/Grass,Voluntarily Complied,07/22/2019,Phone,No, 0.0,"1000 North Goodwin Avenue Urbana, IL"
19-001405,07/11/2019,2019,7,200 Block,South Urbana Avenue,07/11/2019,Weeds/Grass,,,Phone,No, 0.0,"200 South Urbana Avenue Urbana, IL"
19-001409,07/11/2019,2019,7,800 Block,North Harvey Street,07/11/2019,Weeds/Grass,Voluntarily Complied,07/19/2019,Phone,No, 0.0,"800 North Harvey Street Urbana, IL"
19-001415,07/11/2019,2019,7,1000 Block,South Grant Place,07/12/2019,Weeds/Grass,,,Internet,No, 0.0,"1000 South Grant Place Urbana, IL"
19-001392,07/10/2019,2019,7,200 Block,West Oregon Street,07/10/2019,Weeds/Grass,Voluntarily Complied,07/18/2019,Phone,No, 0.0,"200 West Oregon Street Urbana, IL"
19-001393,07/10/2019,2019,7,1200 Block,West Church Street,07/10/2019,Weeds/Grass,,,Phone,No, 0.0,"1200 West Church Street Urbana, IL"
19-001398,07/10/2019,2019,7,1400 Block,West Beech Street,07/10/2019,Municipal Waste,Voluntarily Complied,07/18/2019,Phone,No, 0.0,"1400 West Beech Street Urbana, IL"
19-001399,07/10/2019,2019,7,1400 Block,West Beech Street,07/10/2019,Weeds/Grass,Voluntarily Complied,07/18/2019,Phone,No, 0.0,"1400 West Beech Street Urbana, IL"
19-001400,07/10/2019,2019,7,1200 Block,West Beech Street,07/10/2019,Weeds/Grass,Voluntarily Complied,07/18/2019,Phone,No, 0.0,"1200 West Beech Street Urbana, IL"
19-001401,07/10/2019,2019,7,1300 Block,West Beech Street,07/10/2019,Municipal Waste,,,Phone,No, 0.0,"1300 West Beech Street Urbana, IL"
19-001378,07/09/2019,2019,7,1100 Block,South Lanore Drive,07/09/2019,Municipal Waste,,,Phone,No, 0.0,"1100 South Lanore Drive Urbana, IL"
19-001379,07/09/2019,2019,7,300 Block,East Oregon Street,07/09/2019,Municipal Waste,Voluntarily Complied,07/11/2019,Phone,No, 0.0,"300 East Oregon Street Urbana, IL"
19-001380,07/09/2019,2019,7,100 Block,"East ""Crystal Lake"" Drive",07/09/2019,Municipal Waste,Voluntarily Complied,07/17/2019,Phone,No, 0.0,"100 East ""Crystal Lake"" Drive Urbana, IL"
19-001383,07/09/2019,2019,7,400 Block,West Illinois Street,07/09/2019,Municipal Waste,,,Phone,No, 0.0,"400 West Illinois Street Urbana, IL"
19-001366,07/08/2019,2019,7,2200 Block,West Fletcher Street,07/08/2019,Weeds/Grass,,,Phone,No, 0.0,"2200 West Fletcher Street Urbana, IL"
19-001367,07/08/2019,2019,7,1300 Block,East Silver Street,,Municipal Waste,,,Phone,No, 0.0,"1300 East Silver Street Urbana, IL"
19-001371,07/08/2019,2019,7,700 Block,West Iowa Street,07/08/2019,Weeds/Grass,Voluntarily Complied,07/16/2019,Phone,No, 0.0,"700 West Iowa Street Urbana, IL"
19-001344,07/03/2019,2019,7,2300 Block,"East ""Country Squire"" Drive",07/03/2019,Weeds/Grass,Voluntarily Complied,07/11/2019,Phone,No, 0.0,"2300 East ""Country Squire"" Drive Urbana, IL"
19-001345,07/03/2019,2019,7,1200 Block,West Eads Street,07/03/2019,Municipal Waste,Voluntarily Complied,07/11/2019,Phone,No, 0.0,"1200 West Eads Street Urbana, IL"
19-001351,07/03/2019,2019,7,1600 Block,South Curtiss Drive,07/03/2019,Municipal Waste,Voluntarily Complied,07/11/2019,Phone,No, 0.0,"1600 South Curtiss Drive Urbana, IL"
19-001352,07/03/2019,2019,7,600 Block,East California Avenue,07/03/2019,Municipal Waste,Voluntarily Complied,07/11/2019,Phone,No, 0.0,"600 East California Avenue Urbana, IL"
19-001353,07/03/2019,2019,7,200 Block,South Urbana Avenue,07/03/2019,Weeds/Grass,Voluntarily Complied,07/09/2019,Phone,No, 0.0,"200 South Urbana Avenue Urbana, IL"
19-001354,07/03/2019,2019,7,400 Block,East Green Street,07/03/2019,Weeds/Grass,Voluntarily Complied,07/11/2019,Phone,No, 0.0,"400 East Green Street Urbana, IL"
19-001337,07/02/2019,2019,7,900 Block,North Division Avenue,07/02/2019,Municipal Waste,,,City Staff Reported,No, 0.0,"900 North Division Avenue Urbana, IL"
19-001338,07/02/2019,2019,7,900 Block,North Division Avenue,07/02/2019,Weeds/Grass,,,City Staff Reported,No, 0.0,"900 North Division Avenue Urbana, IL"
19-001339,07/02/2019,2019,7,900 Block,North Division Avenue,07/02/2019,Weeds/Grass,,,City Staff Reported,No, 0.0,"900 North Division Avenue Urbana, IL"
19-001327,07/01/2019,2019,7,1100 Block,South Austin Drive,07/01/2019,Municipal Waste,Voluntarily Complied,07/09/2019,Phone,No, 0.0,"1100 South Austin Drive Urbana, IL"
19-001328,07/01/2019,2019,7,1100 Block,South Lanore Drive,07/01/2019,Municipal Waste,,,Email,No, 0.0,"1100 South Lanore Drive Urbana, IL"
19-001329,07/01/2019,2019,7,1300 Block,East Silver Street,,Municipal Waste,,,City Staff Reported,No, 0.0,"1300 East Silver Street Urbana, IL"
19-001334,07/01/2019,2019,7,700 Block,North Broadway Avenue,07/01/2019,Municipal Waste,,,City Staff Reported,No, 0.0,"700 North Broadway Avenue Urbana, IL"
19-001313,06/28/2019,2019,6,1200 Block,North Division Avenue,06/28/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"1200 North Division Avenue Urbana, IL"
19-001314,06/28/2019,2019,6,900 Block,South Maple Street,06/28/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"900 South Maple Street Urbana, IL"
19-001315,06/28/2019,2019,6,900 Block,South Timothy Trail,06/28/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"900 South Timothy Trail Urbana, IL"
19-001316,06/28/2019,2019,6,900 Block,South Timothy Trail,06/28/2019,Municipal Waste,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"900 South Timothy Trail Urbana, IL"
19-001317,06/28/2019,2019,6,1600 Block,South Smith Road,,,Referred to other department,,Internet,Yes, 0.0,"1600 South Smith Road Urbana, IL"
19-001294,06/27/2019,2019,6,200 Block,"North ""High Cross"" Road",06/27/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"200 North ""High Cross"" Road Urbana, IL"
19-001297,06/27/2019,2019,6,2600 Block,South Lynn Street,06/27/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"2600 South Lynn Street Urbana, IL"
19-001298,06/27/2019,2019,6,2600 Block,South Lynn Street,06/27/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"2600 South Lynn Street Urbana, IL"
19-001302,06/27/2019,2019,6,1200 Block,East Cole Place,06/27/2019,Weeds/Grass,,,Phone,No, 0.0,"1200 East Cole Place Urbana, IL"
19-001303,06/27/2019,2019,6,900 Block,South Philo Road,06/27/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,City Staff Reported,No, 0.0,"900 South Philo Road Urbana, IL"
19-001304,06/27/2019,2019,6,1100 Block,North Goodwin Avenue,06/27/2019,Weeds/Grass,,,City Staff Reported,No, 0.0,"1100 North Goodwin Avenue Urbana, IL"
19-001286,06/26/2019,2019,6,2000 Block,East Easy Street,06/26/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"2000 East Easy Street Urbana, IL"
19-001287,06/26/2019,2019,6,2200 Block,East Rainbow View,06/26/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"2200 East Rainbow View Urbana, IL"
19-001288,06/26/2019,2019,6,2300 Block,"East ""Country Squire"" Drive",06/26/2019,Municipal Waste,,,Phone,No, 0.0,"2300 East ""Country Squire"" Drive Urbana, IL"
19-001289,06/26/2019,2019,6,1900 Block,"East ""Country Squire"" Drive",06/26/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"1900 East ""Country Squire"" Drive Urbana, IL"
19-001291,06/26/2019,2019,6,900 Block,East Scovill Street,06/26/2019,Weeds/Grass,Voluntarily Complied,07/08/2019,Phone,No, 0.0,"900 East Scovill Street Urbana, IL"
19-001277,06/25/2019,2019,6,800 Block,East Main Street,06/25/2019,Weeds/Grass,Voluntarily Complied,07/03/2019,Internet,No, 0.0,"800 East Main Street Urbana, IL"
19-001278,06/25/2019,2019,6,800 Block,East Main Street,06/25/2019,Weeds/Grass,Voluntarily Complied,07/03/2019,Internet,No, 0.0,"800 East Main Street Urbana, IL"
19-001279,06/25/2019,2019,6,300 Block,"East ""Crystal Lake"" Drive",06/25/2019,Municipal Waste,Voluntarily Complied,07/03/2019,Phone,No, 0.0,"300 East ""Crystal Lake"" Drive Urbana, IL"
19-001280,06/25/2019,2019,6,2100 Block,"East ""Country Squire"" Drive",06/25/2019,Municipal Waste,Voluntarily Complied,07/03/2019,Phone,No, 0.0,"2100 East ""Country Squire"" Drive Urbana, IL"
19-001258,06/24/2019,2019,6,1400 Block,South Wiley Drive,,Weeds/Grass,City Abated,06/24/2019,City Staff Reported,No, 594.0,"1400 South Wiley Drive Urbana, IL"
19-001259,06/24/2019,2019,6,1500 Block,South Ogelthorpe Avenue,,Weeds/Grass,City Abated,06/24/2019,City Staff Reported,No, 613.5,"1500 South Ogelthorpe Avenue Urbana, IL"
19-001269,06/24/2019,2019,6,2600 Block,South Lynn Street,06/24/2019,Weeds/Grass,Voluntarily Complied,06/27/2019,Phone,No, 0.0,"2600 South Lynn Street Urbana, IL"
19-001272,06/24/2019,2019,6,800 Block,E Main St,,,City Abated,06/25/2019,Internet,Yes, 0.0,"800 E Main St Urbana, IL"
19-001273,06/24/2019,2019,6,800 Block,East Main Street,,,City Abated,06/25/2019,Internet,Yes, 0.0,"800 East Main Street Urbana, IL"
19-001242,06/20/2019,2019,6,1200 Block,South Race Street,,Weeds/Grass,Voluntarily Complied,06/28/2019,Phone,No, 0.0,"1200 South Race Street Urbana, IL"
19-001244,06/20/2019,2019,6,1300 Block,East Silver Street,,Municipal Waste,,,City Staff Reported,No, 0.0,"1300 East Silver Street Urbana, IL"
19-001257,06/20/2019,2019,6,1600 Block,South Smith Road,,,City Abated,06/24/2019,City Staff Reported,No, 1801.5,"1600 South Smith Road Urbana, IL"
19-001234,06/19/2019,2019,6,500 Block,West Green Street,06/19/2019,Weeds/Grass,Voluntarily Complied,06/27/2019,Phone,No, 0.0,"500 West Green Street Urbana, IL"
19-001239,06/19/2019,2019,6,900 Block,North Linview Avenue,06/19/2019,Municipal Waste,,,Phone,No, 0.0,"900 North Linview Avenue Urbana, IL"
19-001230,06/18/2019,2019,6,600 Block,West Main Street,06/18/2019,Tenant Complaint,Voluntarily Complied,06/26/2019,Phone,No, 0.0,"600 West Main Street Urbana, IL"
19-001231,06/18/2019,2019,6,1300 Block,West Dublin Street,06/18/2019,Weeds/Grass,,,Phone,No, 0.0,"1300 West Dublin Street Urbana, IL"
19-001205,06/17/2019,2019,6,600 Block,West Oregon Street,06/17/2019,Weeds/Grass,Voluntarily Complied,07/01/2019,Phone,No, 0.0,"600 West Oregon Street Urbana, IL"
19-001206,06/17/2019,2019,6,600 Block,West Oregon Street,06/17/2019,Weeds/Grass,Voluntarily Complied,07/01/2019,Phone,No, 0.0,"600 West Oregon Street Urbana, IL"
19-001207,06/17/2019,2019,6,300 Block,East Thompson Street,06/17/2019,Municipal Waste,Voluntarily Complied,06/25/2019,Phone,No, 0.0,"300 East Thompson Street Urbana, IL"
19-001208,06/17/2019,2019,6,300 Block,East Thompson Street,06/17/2019,Weeds/Grass,Voluntarily Complied,06/25/2019,Phone,No, 0.0,"300 East Thompson Street Urbana, IL"
19-001210,06/17/2019,2019,6,1000 Block,North Highlands Drive,,,Referred to other department,06/17/2019,Internet,Yes, 0.0,"1000 North Highlands Drive Urbana, IL"
19-001214,06/17/2019,2019,6,1300 Block,East Colorado Avenue,06/17/2019,Municipal Waste,Voluntarily Complied,06/25/2019,Phone,No, 0.0,"1300 East Colorado Avenue Urbana, IL"
19-001215,06/17/2019,2019,6,1500 Block,South Wiley Drive,06/17/2019,Weeds/Grass,Voluntarily Complied,06/25/2019,Phone,No, 0.0,"1500 South Wiley Drive Urbana, IL"
19-001216,06/17/2019,2019,6,1000 Block,North Highlands Drive,,,Referred to other department,06/17/2019,Internet,Yes, 0.0,"1000 North Highlands Drive Urbana, IL"
19-001183,06/14/2019,2019,6,100 Block,East McHenry Street,06/14/2019,Weeds/Grass,Voluntarily Complied,06/24/2019,Phone,No, 0.0,"100 East McHenry Street Urbana, IL"
19-001184,06/14/2019,2019,6,100 Block,East McHenry Street,06/14/2019,Weeds/Grass,Voluntarily Complied,06/24/2019,Phone,No, 0.0,"100 East McHenry Street Urbana, IL"
19-001185,06/14/2019,2019,6,200 Block,South Grove Street,,,Referred to other department,06/14/2019,Internet,Yes, 0.0,"200 South Grove Street Urbana, IL"
19-001193,06/14/2019,2019,6,800 Block,East Green Street,06/14/2019,Weeds/Grass,Voluntarily Complied,06/24/2019,Phone,No, 0.0,"800 East Green Street Urbana, IL"
19-001194,06/14/2019,2019,6,700 Block,East Green Street,06/14/2019,Weeds/Grass,Voluntarily Complied,06/24/2019,Phone,No, 0.0,"700 East Green Street Urbana, IL"
19-001196,06/14/2019,2019,6,1000 Block,East Willard Street,06/14/2019,Weeds/Grass,Voluntarily Complied,06/24/2019,Phone,No, 0.0,"1000 East Willard Street Urbana, IL"
19-001167,06/13/2019,2019,6,500 Block,West Indiana Avenue,06/13/2019,Weeds/Grass,Voluntarily Complied,06/21/2019,Internet,No, 0.0,"500 West Indiana Avenue Urbana, IL"
19-001168,06/13/2019,2019,6,2000 Block,South Anderson Street,06/13/2019,Weeds/Grass,Voluntarily Complied,06/21/2019,Phone,No, 0.0,"2000 South Anderson Street Urbana, IL"
19-001169,06/13/2019,2019,6,700 Block,East Fairlawn Drive,06/13/2019,Weeds/Grass,Voluntarily Complied,06/21/2019,Phone,No, 0.0,"700 East Fairlawn Drive Urbana, IL"
19-001170,06/13/2019,2019,6,800 Block,East Washington Street,06/13/2019,Weeds/Grass,Voluntarily Complied,07/19/2019,Phone,No, 0.0,"800 East Washington Street Urbana, IL"
19-001171,06/13/2019,2019,6,700 Block,South Grove Street,06/13/2019,Weeds/Grass,Voluntarily Complied,06/21/2019,Phone,No, 0.0,"700 South Grove Street Urbana, IL"
19-001172,06/13/2019,2019,6,200 Block,South Grove Street,06/13/2019,Weeds/Grass,Voluntarily Complied,06/21/2019,Phone,No, 0.0,"200 South Grove Street Urbana, IL"
19-001173,06/13/2019,2019,6,200 Block,South Grove Street,06/13/2019,Weeds/Grass,Voluntarily Complied,06/21/2019,Phone,No, 0.0,"200 South Grove Street Urbana, IL"
19-001175,06/13/2019,2019,6,2200 Block,"East ""Country Squire"" Drive",06/13/2019,Weeds/Grass,,,Phone,No, 0.0,"2200 East ""Country Squire"" Drive Urbana, IL"
19-001176,06/13/2019,2019,6,900 Block,East Delaware Avenue,06/14/2019,Weeds/Grass,Voluntarily Complied,06/21/2019,Phone,No, 0.0,"900 East Delaware Avenue Urbana, IL"
19-001177,06/13/2019,2019,6,900 Block,East Delaware Avenue,06/14/2019,Municipal Waste,Voluntarily Complied,06/21/2019,Phone,No, 0.0,"900 East Delaware Avenue Urbana, IL"
19-001178,06/13/2019,2019,6,1300 Block,East Silver Street,,Municipal Waste,City Abated,06/24/2019,City Staff Reported,No, 1083.32,"1300 East Silver Street Urbana, IL"
19-001158,06/12/2019,2019,6,500 Block,West Indiana Avenue,,,City Abated,06/13/2019,Internet,Yes, 0.0,"500 West Indiana Avenue Urbana, IL"
19-001136,06/09/2019,2019,6,900 Block,East Scovill Street,,,Unfounded,06/13/2019,Internet,Yes, 0.0,"900 East Scovill Street Urbana, IL"
19-001123,06/07/2019,2019,6,1600 Block,East Ivanhoe Way,06/07/2019,Municipal Waste,City Abated,,Phone,No, 0.0,"1600 East Ivanhoe Way Urbana, IL"
19-001124,06/07/2019,2019,6,1600 Block,East Ivanhoe Way,06/07/2019,Weeds/Grass,,,Phone,No, 0.0,"1600 East Ivanhoe Way Urbana, IL"
19-001125,06/07/2019,2019,6,1600 Block,East Ivanhoe Way,06/07/2019,Municipal Waste,Voluntarily Complied,06/17/2019,Phone,No, 0.0,"1600 East Ivanhoe Way Urbana, IL"
19-001126,06/07/2019,2019,6,700 Block,South Vine Street,06/07/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 238.0,"700 South Vine Street Urbana, IL"
19-001127,06/07/2019,2019,6,700 Block,East Washington Street,06/07/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 119.0,"700 East Washington Street Urbana, IL"
19-001128,06/07/2019,2019,6,800 Block,East Fairlawn Drive,06/07/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 238.0,"800 East Fairlawn Drive Urbana, IL"
19-001129,06/07/2019,2019,6,800 Block,"South ""Cottage Grove"" Avenue",06/07/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 238.0,"800 South ""Cottage Grove"" Avenue Urbana, IL"
19-001115,06/06/2019,2019,6,100 Block,North Webber Street,06/06/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 158.0,"100 North Webber Street Urbana, IL"
19-001116,06/06/2019,2019,6,1200 Block,South Lanore Drive,06/06/2019,Municipal Waste,Voluntarily Complied,06/14/2019,Phone,No, 0.0,"1200 South Lanore Drive Urbana, IL"
19-001117,06/06/2019,2019,6,1100 Block,East Scovill Street,06/06/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 119.0,"1100 East Scovill Street Urbana, IL"
19-001100,06/05/2019,2019,6,900 Block,North Busey Avenue,06/05/2019,Municipal Waste,Voluntarily Complied,06/13/2019,Phone,No, 0.0,"900 North Busey Avenue Urbana, IL"
19-001104,06/05/2019,2019,6,300 Block,West Iowa Street,06/05/2019,Weeds/Grass,Voluntarily Complied,06/13/2019,Phone,No, 0.0,"300 West Iowa Street Urbana, IL"
19-001109,06/05/2019,2019,6,400 Block,West Springfield Avenue,06/05/2019,Weeds/Grass,Voluntarily Complied,06/13/2019,Phone,No, 0.0,"400 West Springfield Avenue Urbana, IL"
19-001110,06/05/2019,2019,6,2000 Block, Cureton Drive,06/05/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 138.5,"2000  Cureton Drive Urbana, IL"
19-001081,06/04/2019,2019,6,800 Block,East Park Street,,Weeds/Grass,City Abated,06/24/2019,Phone,No, 363.5,"800 East Park Street Urbana, IL"
19-001083,06/04/2019,2019,6,1300 Block,East Silver Street,,Municipal Waste,City Abated,06/24/2019,City Staff Reported,No, 1083.32,"1300 East Silver Street Urbana, IL"
19-001090,06/04/2019,2019,6,1900 Block,East Florida Avenue,06/04/2019,Weeds/Grass,Voluntarily Complied,06/13/2019,Internet,No, 0.0,"1900 East Florida Avenue Urbana, IL"
19-001091,06/04/2019,2019,6,1900 Block,East Florida Avenue,06/04/2019,Weeds/Grass,Voluntarily Complied,06/13/2019,Phone,No, 0.0,"1900 East Florida Avenue Urbana, IL"
19-001095,06/04/2019,2019,6,1900 Block,South Vine Street,,,Referred to other department,06/05/2019,Internet,Yes, 0.0,"1900 South Vine Street Urbana, IL"
19-001067,06/03/2019,2019,6,2200 Block,West Fletcher Street,06/03/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 183.0,"2200 West Fletcher Street Urbana, IL"
19-001068,06/03/2019,2019,6,1200 Block,West Bradley Avenue,06/03/2019,Weeds/Grass,City Abated,06/24/2019,Phone,No, 177.5,"1200 West Bradley Avenue Urbana, IL"
